PMID	SRA Study	SRA Run	Treatment	Development Stage	Tissue	TPM
31882456	SRP064384	SRR2545900	Ambient [CO2] and 50 min of drought stress-Biological replicate 1	vegetative stage	root	10.1039
31882456	SRP064384	SRR2545901	Ambient [CO2] and 50 min of drought stress-Biological replicate 2	vegetative stage	root	15.3735
31882456	SRP064384	SRR2545902	Elevated [CO2] and 50 min of drought stress-Biological replicate 1	vegetative stage	root	0
31882456	SRP064384	SRR2545903	Elevated [CO2] and 50 min of drought stress-Biological replicate 2	vegetative stage	root	0.6116
31882456	SRP067593	SRR3033496	VMS-WW-R1	not collected	root	2.4111
31882456	SRP067593	SRR3033497	VMS-WW-R2	not collected	root	0.3743
31882456	SRP067593	SRR3033498	MS-WW-R2	not collected	root	0
31882456	SRP067593	SRR3033499	MS-WW-R3	not collected	root	0
31882456	SRP067593	SRR3033500	SS-R1	not collected	root	0
31882456	SRP067593	SRR3033501	SS-R2	not collected	root	672.3614
31882456	SRP067593	SRR3033502	SS-R3	not collected	root	0
31882456	SRP067593	SRR3033503	SS-WW-R1	not collected	root	0
31882456	SRP067593	SRR3033504	SS-WW-R2	not collected	root	0
31882456	SRP067593	SRR3033505	SS-WW-R3	not collected	root	6.7830
31882456	SRP067593	SRR3033506	SR-R1	not collected	root	17.1891
